Character,Eidolon,dmg_per_pull
Anaxa,E0,1.2987012987012987
Anaxa,E1,0.7537485831956185
Anaxa,E2,0.6304652209655142
Anaxa,E3,0.5057427533397276
Anaxa,E4,0.47607552749829485
Anaxa,E5,0.415551312271104
Anaxa,E6,0.7232300603039696
Anaxa,LC,1.106188746048472
Castorice,E0,1.2987012987012987
Castorice,E1,0.8361960620025136
Castorice,E2,0.7057743331936883
Castorice,E3,0.559235878368943
Castorice,E4,0.4575566277564078
Castorice,E5,0.4151465452750015
Castorice,E6,0.5106512495404529
Castorice,LC,1.3366850751215202
RuanMei,E0,1.2987012987012987
RuanMei,E1,0.6801248287316397
RuanMei,E2,0.5175232985073224
RuanMei,E3,0.3943527534625796
RuanMei,E4,0.32378005320737935
RuanMei,E5,0.27635456310656525
RuanMei,E6,0.24079005185522281
RuanMei,LC,0.7886575951672077
